expert_id,expert,family,anchor_policy_key,anchor_tier,anchor_trades,cluster_size,cluster_policy_keys,cluster_positive_share,cluster_mature_share,cluster_median_trades,cluster_median_active_months,cluster_median_net_R,cluster_min_net_R,cluster_signal_consensus,cluster_robust
0,趋势回踩重新站稳多头,趋势回踩,e024946a7a7bbea6,CANDIDATE,4,6,e024946a7a7bbea6|4f78680cc446fc4d|1b33e623d700f1dd|cf61261d0d156ada|b64115b0307570f8|12eff90a29076783,0.8333333333333334,0.0,3.5,2.0,0.5979875068776694,-2.144794925289008,0.6499999999999999,True
0,趋势回踩重新站稳多头,趋势回踩,2cc5288833a70fca,REJECTED,2,6,2cc5288833a70fca|027f1e6882c8e0ac|507ffa897d874aa4|dea253e979ba4233|61a9c4464c24f1aa|d86f5e691767a819,0.5,0.0,2.5,2.0,-0.21618029681183293,-2.144794925289008,0.9,False
0,趋势回踩重新站稳多头,趋势回踩,d86f5e691767a819,REJECTED,2,6,d86f5e691767a819|b64115b0307570f8|cf61261d0d156ada|1b33e623d700f1dd|4f78680cc446fc4d|2cc5288833a70fca,1.0,0.0,2.5,2.0,0.690820204273016,0.24103220940179093,0.9,True
0,趋势回踩重新站稳多头,趋势回踩,507ffa897d874aa4,REJECTED,3,6,507ffa897d874aa4|dea253e979ba4233|61a9c4464c24f1aa|12eff90a29076783|2cc5288833a70fca|027f1e6882c8e0ac,0.3333333333333333,0.0,3.0,2.0,-0.85905819781615,-2.144794925289008,0.8666666666666667,False
0,趋势回踩重新站稳多头,趋势回踩,cf61261d0d156ada,CANDIDATE,3,6,cf61261d0d156ada|1b33e623d700f1dd|4f78680cc446fc4d|e024946a7a7bbea6|d86f5e691767a819|b64115b0307570f8,1.0,0.0,3.0,2.0,0.9549428043535478,0.24103220940179093,0.8666666666666667,True
0,趋势回踩重新站稳多头,趋势回踩,61a9c4464c24f1aa,REJECTED,4,6,61a9c4464c24f1aa|12eff90a29076783|507ffa897d874aa4|dea253e979ba4233|2cc5288833a70fca|4f78680cc446fc4d,0.3333333333333333,0.0,3.5,2.0,-0.85905819781615,-2.144794925289008,0.6499999999999999,False
0,趋势回踩重新站稳多头,趋势回踩,4f78680cc446fc4d,CANDIDATE,4,6,4f78680cc446fc4d|e024946a7a7bbea6|cf61261d0d156ada|1b33e623d700f1dd|d86f5e691767a819|61a9c4464c24f1aa,0.8333333333333334,0.0,3.5,2.0,0.5979875068776694,-2.144794925289008,0.6499999999999999,True
1,趋势反抽失败空头,趋势回踩,a9cab89e18b613f6,REJECTED,1,6,a9cab89e18b613f6|c83ae43ded4e3128|babd89c70121bbf0|3fac1d15a4107f3d|d4f433d971b8cfe4|eb433281c4959b84,0.0,0.0,1.5,1.0,-1.7088947655451145,-2.0939946451577924,0.8,False
1,趋势反抽失败空头,趋势回踩,eb433281c4959b84,REJECTED,1,6,eb433281c4959b84|fcdc5ffc06cef7e2|84ee61c08f9c36c2|cf9d7027a014a4bc|66c4e506115bcabc|a9cab89e18b613f6,0.0,0.0,1.0,1.0,-0.8523612723718867,-1.3237948859324367,0.8,False
1,趋势反抽失败空头,趋势回踩,babd89c70121bbf0,REJECTED,2,6,babd89c70121bbf0|3fac1d15a4107f3d|d4f433d971b8cfe4|304ab173a2ce9c87|a9cab89e18b613f6|c83ae43ded4e3128,0.0,0.0,2.0,1.0,-2.0939946451577924,-2.0939946451577924,0.8,False
1,趋势反抽失败空头,趋势回踩,84ee61c08f9c36c2,REJECTED,1,6,84ee61c08f9c36c2|cf9d7027a014a4bc|66c4e506115bcabc|d6b6913945880878|eb433281c4959b84|fcdc5ffc06cef7e2,0.0,0.0,1.0,1.0,-0.8523612723718867,-0.8523612723718867,1.0,False
1,趋势反抽失败空头,趋势回踩,d4f433d971b8cfe4,REJECTED,2,6,d4f433d971b8cfe4|304ab173a2ce9c87|babd89c70121bbf0|3fac1d15a4107f3d|a9cab89e18b613f6|66c4e506115bcabc,0.0,0.0,2.0,1.0,-2.0939946451577924,-2.0939946451577924,0.7,False
1,趋势反抽失败空头,趋势回踩,66c4e506115bcabc,REJECTED,1,6,66c4e506115bcabc|d6b6913945880878|84ee61c08f9c36c2|cf9d7027a014a4bc|eb433281c4959b84|d4f433d971b8cfe4,0.0,0.0,1.0,1.0,-0.8523612723718867,-2.0939946451577924,0.8,False
1,趋势反抽失败空头,趋势回踩,c83ae43ded4e3128,REJECTED,1,6,c83ae43ded4e3128|a9cab89e18b613f6|3fac1d15a4107f3d|babd89c70121bbf0|304ab173a2ce9c87|fcdc5ffc06cef7e2,0.0,0.0,1.5,1.0,-1.7088947655451145,-2.0939946451577924,0.8,False
1,趋势反抽失败空头,趋势回踩,fcdc5ffc06cef7e2,REJECTED,1,6,fcdc5ffc06cef7e2|eb433281c4959b84|cf9d7027a014a4bc|84ee61c08f9c36c2|d6b6913945880878|c83ae43ded4e3128,0.0,0.0,1.0,1.0,-0.8523612723718867,-1.3237948859324367,0.8,False
1,趋势反抽失败空头,趋势回踩,3fac1d15a4107f3d,REJECTED,2,6,3fac1d15a4107f3d|babd89c70121bbf0|304ab173a2ce9c87|d4f433d971b8cfe4|c83ae43ded4e3128|a9cab89e18b613f6,0.0,0.0,2.0,1.0,-2.0939946451577924,-2.0939946451577924,0.8,False
1,趋势反抽失败空头,趋势回踩,cf9d7027a014a4bc,REJECTED,1,6,cf9d7027a014a4bc|84ee61c08f9c36c2|d6b6913945880878|66c4e506115bcabc|fcdc5ffc06cef7e2|eb433281c4959b84,0.0,0.0,1.0,1.0,-0.8523612723718867,-0.8523612723718867,1.0,False
1,趋势反抽失败空头,趋势回踩,304ab173a2ce9c87,REJECTED,2,6,304ab173a2ce9c87|d4f433d971b8cfe4|3fac1d15a4107f3d|babd89c70121bbf0|c83ae43ded4e3128|d6b6913945880878,0.0,0.0,2.0,1.0,-2.0939946451577924,-2.0939946451577924,0.7,False
